cos,usr_click_nums,same_cos_nums,±»÷µ
0.029004,0,1,0
0.044834,111,369,0.300813008
0.035921,315,1930,0.163212435
0.286039,598,4378,0.136592051
0.084705,1,1,1
0.070167,0,1,0
0.117192,4,12,0.333333333
0.02882,38,159,0.238993711
0.100791,1,11,0.090909091
0.016843,0,1,0
0.022195,19,82,0.231707317
0.02087,4,4,1
0.053283,0,1,0
0.033845,2,3,0.666666667
0.269408,40,246,0.162601626
0.042333,0,5,0
0.308607,2,12,0.166666667
0.082867,0,1,0
0.096573,46,153,0.300653595
0.037431,4,7,0.571428571
0.025094,10,44,0.227272727
0.082956,1,1,1
0.072884,1,1,1
0.044992,3,8,0.375
0.020447,1,10,0.1
0.022006,22,76,0.289473684
0.10171,66,281,0.234875445
0.019426,7,11,0.636363636
0.064327,2,19,0.105263158
0.066853,559,2067,0.270440252
0.043895,5,16,0.3125
0.130312,229,1030,0.222330097
0.013955,1,1,1
0.217186,0,4,0
0.056776,0,1,0
0.090815,1414,6047,0.233834959
0.059131,17,59,0.288135593
0.035328,1,4,0.25
0.017418,0,2,0
0.116445,3955,19874,0.199003723
0.018418,2,2,1
0.07303,600,2389,0.251151109
0.056344,2173,13870,0.15666907
0.118211,2,2,1
0.076847,2,2,1
0.034627,0,1,0
0.023518,2,29,0.068965517
0.092253,1927,8963,0.214994979
0.072976,8,29,0.275862069
0.109911,50,192,0.260416667
0.028398,197,815,0.241717791
0.02922,1,1,1
0.062869,25,87,0.287356322
0.024147,29,161,0.180124224
0.251976,1,4,0.25
0.028039,31,132,0.234848485
0.163984,18,53,0.339622642
0.107417,94,307,0.306188925
0.034275,5,13,0.384615385
0.052664,0,1,0
0.137505,8,46,0.173913043
0.033241,211,1281,0.164715066
0.02765,30,117,0.256410256
0.039186,12,49,0.244897959
0.286299,0,2,0
0.038984,1,3,0.333333333
0.211289,0,2,0
0.159,21,59,0.355932203
0.093205,2,4,0.5
0.023162,11,37,0.297297297
0.1676,0,1,0
0.032858,0,2,0
0.026822,90,425,0.211764706
