cos	nums
0.0532	1
0.067082	11
0.043685	2136
0.022646	86
0.088235	7
0.195366	1
0.023113	35
0.016021	1
0.069749	14
0.046984	17
0.024907	29
0.023939	194
0.066482	1421
0.241121	7
0.07408	35
0.034669	485
0.015671	1
0.139122	700
0.097706	1
0.081832	2
0.016431	2
0.050351	0
0.110432	1190
0.091499	174
0.063671	5
0.028228	639
0.16265	3
0.08465	14
0.048868	364
0.076029	198
0.017972	0
0.098639	160
0.110282	252
0.349215	9
0.058387	2
0.04969	7105
0.048365	271
0.086468	7061
0.034179	511
0.04439	110
0.014649	1
0.019726	11
0.020874	44
0.02214	111
0.020815	18
0.038519	1
0.021969	13
0.02849	193
0.09848	13
0.025	290
0.038815	18
0.023544	34
0.173553	2
0.030751	2
0.021398	5
0.040962	1382
0.059351	4
0.145521	732
0.032898	448
0.021378	6
0.092748	9091
0.073771	2629
0.113137	6
0.084684	107
0.019764	24
0.016784	6
0.053548	632
0.035273	6
0.128154	27
0.01865	6
0.079612	103
0.034789	5
0.087287	5061
0.016609	2
0.056523	75
0.021359	13
0.056745	1
0.08667	0
0.086784	141
0.065859	36
0.084248	1
0.031373	300
0.051048	392
0.039406	967
0.028689	478
0.035852	0
0.088542	7
0.133498	305
0.021848	54
0.030831	331
0.040456	1
0.036576	1
0.056195	4
0.478091	349
0.093567	4
0.263523	4
0.084348	48
0.079195	63
0.038742	32
0.104006	8
0.017817	2
0.128037	1735
0.041959	1257
0.083984	2
0.184506	84
0.021517	94
0.017366	1
0.237023	6
0.128103	22
0.040614	36
0.074628	1
0.11847	14218
0.022113	71
0.049614	291
0.099228	8
0.019803	50
0.074125	201
0.021492	58
0.023473	291
0.108253	3
0.014801	5
0.039103	12
0.023389	19
0.027789	483
0.036364	8
0.032275	1600
0.046575	6
0.082107	105
0.086711	342
0.023538	121
0.131306	2209
0.129914	13
0.024325	169
0.0373	12
0.040064	2
0.106149	17266
0.015153	3
0.17178	1477
0.060486	7
0.042211	59
0.174371	118
0.038236	746
0.0553	29
0.031497	304
0.052583	4
0.021719	63
0.05	12116
0.088697	1
0.166091	27750
0.02519	28
0.020897	25
0.103819	357
0.083045	35169
0.056682	816
0.028384	1
0.070033	41
0.111494	6
0.028456	546
0.040622	9
0.034922	2458
0.155794	1
0.170996	0
0.047741	164
0.058222	14234
0.054133	845
0.017514	12
0.154713	91
0.024008	152
0.06576	1595
0.035355	2532
0.19245	3043
0.070933	2890
0.025031	43
0.018519	2
0.253546	1684
0.291111	6
0.113822	8
0.018544	0
0.130931	641
0.017946	1
0.079305	369
0.112588	332
0.12088	12
0.108665	3
0.041345	3981
0.020391	19
0.016922	1
0.018481	0
0.110657	327
0.017355	1
0.040927	8
0.016884	1
0.025416	44
0.019795	2
0.120605	21040
0.306186	191
0.016961	1
0.030185	3
0.109181	372
0.088852	73
0.023702	185
0.168763	135
0.072739	166
0.298807	4
0.068041	7856
0.019007	2
0.119713	12
0.102262	2
0.220193	134
0.029161	108
0.046499	119
0.033638	5
0.055385	46
0.113796	633
0.028964	156
0.163663	31
0.088302	1
0.108112	355
0.049938	22
0.220863	1
0.042601	4
0.027331	0
0.053537	2
0.015385	1
0.049207	13
0.032902	7
0.035624	598
0.020265	18
0.029111	937
0.100157	4
0.157243	58
0.095588	94
0.016211	0
0.089443	28175
0.075858	4
0.219971	2
0.02965	2
0.25049	202
0.076696	20708
0.084182	155
0.09066	162
0.058421	31
0.046778	30
0.452267	186
0.037496	18
0.07151	18
0.058722	14875
0.046225	1729
0.049507	2638
0.060796	5
0.172935	48
0.083722	2
0.105021	10
0.068853	1
0.037107	24
0.070491	2072
0.023137	17
0.162221	3217
0.145865	2862
0.080992	6
0.062776	1381
0.167132	1
0.062554	4
0.018443	9
0.021129	56
0.042954	12
0.030447	2
0.272166	7
0.017075	5
0.031446	1
0.054718	30
0.146549	21
0.018054	1
0.103626	3
0.042679	5
0.114374	12
0.149592	36
0.069655	20
0.093026	157
0.226455	5
0.051131	363
0.049029	3385
0.016287	2
0.108148	1
0.082426	2
0.024001	36
0.024663	32
0.066915	20
0.186501	36680
0.40452	2772
0.081923	315
0.057156	1
0.019537	13
0.049462	326
0.074536	39080
0.033059	989
0.092362	216
0.028537	140
0.059821	6
0.021796	88
0.020032	1
0.174667	2794
0.017937	2
0.048795	11215
0.024807	217
0.263117	3823
0.042448	4672
0.147442	2844
0.01708	0
0.027896	601
0.04354	94
0.081061	1
0.083406	6142
0.088388	14842
0.020412	38
0.089048	221
0.063443	0
0.048295	236
0.039684	3701
0.345033	2
0.022451	50
0.127128	10
0.159223	2026
0.040096	6
0.132686	0
0.050556	372
0.03637	675
0.021637	10
0.036484	2
0.067003	2
0.116642	2
0.024077	199
0.033544	7
0.122284	12
0.06868	7512
0.027563	0
0.122398	4
0.021243	7
0.074906	3
0.164845	1
0.039111	42
